routenum,eta,distance,route,time
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 00:56:28 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 00:56:37 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 00:56:50 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 00:56:59 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 00:57:07 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 00:57:15 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 00:57:23 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 00:57:32 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 00:57:39 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 00:57:49 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 00:57:56 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 00:58:03 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 00:58:11 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 00:58:19 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 00:58:26 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 00:58:32 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 00:58:41 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 00:58:50 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 00:58:56 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 00:59:05 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 00:59:13 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 00:59:21 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 00:59:30 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 00:59:38 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 00:59:46 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 00:59:53 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:00:04 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:00:15 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:00:22 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:00:31 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:00:39 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:00:47 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:01:00 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:01:08 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:01:17 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:01:25 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:01:31 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:01:40 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:01:47 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:01:55 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:02:04 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:02:11 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:02:18 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:02:27 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:02:37 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:02:44 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:02:52 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:03:01 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:03:07 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:03:15 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:03:24 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:03:30 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:03:37 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:03:46 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:03:53 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:04:02 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:04:10 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:04:16 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:04:24 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:04:33 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:04:41 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:04:50 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:04:57 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:05:03 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:05:12 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:05:20 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:05:28 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:05:36 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:05:43 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:05:57 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:06:04 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:06:12 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:06:20 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:06:27 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:06:36 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:06:43 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:06:51 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:07:04 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:07:12 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:07:21 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:07:28 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:07:37 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:07:44 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:07:51 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:07:59 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:08:07 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:08:13 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:08:22 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:08:30 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:08:37 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:08:46 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:08:53 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:09:07 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:09:13 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:09:21 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:09:29 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:09:37 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:09:45 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:09:53 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:09:59 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:10:07 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:10:15 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:10:23 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:10:29 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:10:38 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:10:45 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:10:52 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:11:05 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:11:14 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:11:27 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:11:33 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:11:42 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:11:49 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:11:57 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:12:06 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:12:13 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:12:20 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:12:28 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:12:35 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:12:43 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:12:51 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:12:58 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:13:06 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:13:13 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:13:20 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:13:35 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:13:42 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:13:51 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:13:57 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:14:04 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:14:13 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:14:20 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:14:28 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:14:36 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:14:43 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:14:58 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:15:05 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:15:19 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:15:25 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:15:34 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:15:42 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:15:55 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:16:02 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:16:16 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:16:23 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:16:37 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:16:44 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:16:58 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:17:05 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:17:14 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:17:22 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:17:33 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:17:42 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:17:49 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:17:57 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:18:04 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:18:11 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:18:19 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:18:28 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:18:35 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:18:44 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:18:50 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:19:04 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:19:11 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:19:18 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:19:27 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:19:34 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:19:42 2018"
1,"17 min","16.3 miles","I-90 E","Fri Sep 28 01:19:50 2018"
